  207: 0x0048E840  IsAddOnLoadOnDemand
  208: 0x0048E8E0  IsAddOnLoaded
  209: 0x0048E980  LoadAddOn
  210: 0x0048EB70  PartialPlayTime
  211: 0x0048EBE0  NoPlayTime
  212: 0x0048EC50  GetBillingTimeRested
  213: 0x0048A6B0  ResetInstances
  214: 0x0048A720  CanShowResetInstances
  215: 0x0048A750  IsInInstance

=== Loop @ 0x004A1A1F  Table 0x00843618  Count=50 ===
    0: 0x0049F1E0  SendChatMessage
    1: 0x0049F920  SendAddonMessage
    2: 0x0049FB30  GetNumLaguages
    3: 0x0049FBE0  GetLanguageByIndex
    4: 0x0049FCD0  GetDefaultLanguage
    5: 0x0049FD30  DoEmote
    6: 0x0049FE40  LoggingChat
    7: 0x0049FEF0  LoggingCombat
    8: 0x0049FF00  JoinChannelByName
    9: 0x004A0000  LeaveChannelByName
   10: 0x004A00D0  ListChannelByName
   11: 0x004A01C0  ListChannels
   12: 0x004A02D0  GetChannelList
   13: 0x004A03A0  SetChannelPassword
   14: 0x004A0490  SetChannelOwner
   15: 0x004A05C0  DisplayChannelOwner
   16: 0x004A05E0  GetChannelName
   17: 0x004A06B0  ChannelModerator
   18: 0x004A06D0  ChannelUnmoderator
   19: 0x004A06F0  ChannelMute
   20: 0x004A0710  ChannelUnmute
   21: 0x004A0730  ChannelInvite
   22: 0x004A0750  ChannelKick
   23: 0x004A0770  ChannelBan
   24: 0x004A0790  ChannelUnban
   25: 0x004A07B0  ChannelToggleAnnouncements
   26: 0x004A07D0  ChannelModerate
   27: 0x004A07F0  ChangeChatColor
   28: 0x004A09E0  ResetChatColors
   29: 0x004A0A80  GetChatTypeIndex
   30: 0x004A0BA0  GetChatWindowInfo
   31: 0x004A0D20  GetChatWindowMessages
   32: 0x004A0DC0  GetChatWindowChannels
   33: 0x004A0E80  AddChatWindowMessages
   34: 0x004A0F40  RemoveChatWindowMessages
   35: 0x004A1000  AddChatWindowChannel
   36: 0x004A1260  RemoveChatWindowChannel
   37: 0x004A13F0  SetChatWindowName
   38: 0x004A1470  SetChatWindowSize
   39: 0x004A14F0  SetChatWindowColor
   40: 0x004A15D0  SetChatWindowAlpha
   41: 0x004A1650  SetChatWindowLocked
   42: 0x004A16B0  SetChatWindowDocked
   43: 0x004A1730  SetChatWindowShown
   44: 0x004A1790  EnumerateServerChannels
   45: 0x004A1850  RequestRaidInfo
   46: 0x004A0040  GetGuildRecruitmentMode
   47: 0x004A0060  SetGuildRecruitmentMode
   48: 0x004A18F0  GetNumSavedInstances
   49: 0x004A1920  GetSavedInstanceInfo

=== Loop @ 0x004A91CF  Table 0x00845078  Count=23 ===
    0: 0x004A7CE0  GetMapContinents
    1: 0x004A7D10  GetMapZones
