    8: 0x00974D10  SetShadowOffset
    9: 0x00974D70  GetShadowOffset
   10: 0x00974DD0  SetSpacing
   11: 0x00974E30  GetSpacing
   12: 0x00974E90  SetJustifyH
   13: 0x00974EF0  GetJustifyH
   14: 0x00974F50  SetJustifyV
   15: 0x00974FB0  GetJustifyV
   16: 0x00975010  SetIndentedWordWrap
   17: 0x00975070  GetIndentedWordWrap
   18: 0x009750D0  SetText
   19: 0x00975120  SetHyperlinkFormat
   20: 0x009751A0  GetHyperlinkFormat
   21: 0x009751E0  SetHyperlinksEnabled
   22: 0x00975240  GetHyperlinksEnabled

=== Table 0x00B2D210  Count=58 ===
    0: 0x00975310  SetFontObject
    1: 0x00975370  GetFontObject
    2: 0x009753D0  SetFont
    3: 0x00975430  GetFont
    4: 0x00975490  SetTextColor
    5: 0x009754F0  GetTextColor
    6: 0x00975550  SetShadowColor
    7: 0x009755B0  GetShadowColor
    8: 0x00975610  SetShadowOffset
    9: 0x00975670  GetShadowOffset
   10: 0x009756D0  SetSpacing
   11: 0x00975730  GetSpacing
   12: 0x00975790  SetJustifyH
   13: 0x009757F0  GetJustifyH
   14: 0x00975850  SetJustifyV
   15: 0x009758B0  GetJustifyV
   16: 0x00975910  SetIndentedWordWrap
   17: 0x00975970  GetIndentedWordWrap
   18: 0x009759D0  SetAutoFocus
   19: 0x00975A20  IsAutoFocus
   20: 0x00975A80  SetCountInvisibleLetters
   21: 0x00975AD0  IsCountInvisibleLetters
   22: 0x00975B30  SetMultiLine
   23: 0x00975B80  IsMultiLine
   24: 0x00975BE0  SetNumeric
   25: 0x00975C30  IsNumeric
   26: 0x00975C90  SetPassword
   27: 0x00975CE0  IsPassword
   28: 0x00975D40  SetBlinkSpeed
   29: 0x00975DC0  GetBlinkSpeed
   30: 0x00975E10  Insert
   31: 0x00975E80  SetText
   32: 0x00975F10  GetText
   33: 0x00975F80  SetNumber
   34: 0x00976010  GetNumber
   35: 0x00976080  HighlightText
   36: 0x00976110  AddHistoryLine
   37: 0x009761A0  ClearHistory
   38: 0x009761E0  SetTextInsets
   39: 0x00976330  GetTextInsets
   40: 0x00976410  SetFocus
   41: 0x00976450  ClearFocus
   42: 0x00976490  HasFocus
   43: 0x009764E0  SetMaxBytes
   44: 0x00976580  GetMaxBytes
   45: 0x009765D0  SetMaxLetters
   46: 0x00976650  GetMaxLetters
   47: 0x009766A0  GetNumLetters
   48: 0x00976720  GetHistoryLines
   49: 0x00976770  SetHistoryLines
   50: 0x00976800  GetInputLanguage
   51: 0x00976850  ToggleInputLanguage
   52: 0x00976890  SetAltArrowKeyMode
   53: 0x009768E0  GetAltArrowKeyMode
   54: 0x00976940  IsInIMECompositionMode
   55: 0x009769A0  SetCursorPosition
   56: 0x00976A20  GetCursorPosition
   57: 0x00976A70  GetUTF8CursorPosition

=== Table 0x00B2D3E4  Count=6 ===
    0: 0x00976B40  SetChecked
    1: 0x00976B90  GetChecked
    2: 0x00976BF0  GetCheckedTexture
    3: 0x00976C70  SetCheckedTexture
    4: 0x00976DD0  GetDisabledCheckedTexture
    5: 0x00976E50  SetDisabledCheckedTexture

=== Table 0x00B2D418  Count=34 ===
    0: 0x00977090  Enable
    1: 0x00977100  Disable
    2: 0x00977170  IsEnabled
    3: 0x009771D0  GetButtonState
    4: 0x00977280  SetButtonState
    5: 0x00977340  SetNormalFontObject
    6: 0x00977450  GetNormalFontObject
    7: 0x009774C0  SetDisabledFontObject
    8: 0x009775D0  GetDisabledFontObject
    9: 0x00977640  SetHighlightFontObject
   10: 0x00977750  GetHighlightFontObject
   11: 0x009777C0  SetFontString
   12: 0x009778E0  GetFontString
   13: 0x00977960  SetText
   14: 0x009779B0  SetFormattedText
   15: 0x00977A10  GetText
   16: 0x00977C70  SetNormalTexture
   17: 0x00977C90  GetNormalTexture
   18: 0x00977CB0  SetPushedTexture
   19: 0x00977CD0  GetPushedTexture
   20: 0x00977CF0  SetDisabledTexture
   21: 0x00977D10  GetDisabledTexture
   22: 0x00977D30  SetHighlightTexture
   23: 0x00977EE0  GetHighlightTexture
   24: 0x00977F60  SetPushedTextOffset
   25: 0x00978040  GetPushedTextOffset
   26: 0x009780D0  GetTextWidth
   27: 0x00978150  GetTextHeight
   28: 0x009781D0  RegisterForClicks
   29: 0x00978260  Click
   30: 0x009782E0  LockHighlight
   31: 0x00978320  UnlockHighlight
   32: 0x00978360  GetMotionScriptsWhileDisabled
   33: 0x009783B0  SetMotionScriptsWhileDisabled


