=== Table 0x00AC3E00  Count=113 ===
   71: 0x00525B90  TargetNearestFriendPlayer
   72: 0x00525BD0  TargetNearestPartyMember
   73: 0x00525C00  TargetNearestRaidMember
   74: 0x00525C30  TargetDirectionEnemy
   75: 0x00525CD0  TargetDirectionFriend
   76: 0x00515560  TargetDirectionFinished
   77: 0x00525D70  TargetLastTarget
   78: 0x00525DF0  TargetLastEnemy
   79: 0x00525E50  TargetLastFriend
   80: 0x0051A650  AttackTarget
   81: 0x00525EB0  AssistUnit
   82: 0x00522480  FocusUnit
   83: 0x005224C0  FollowUnit
   84: 0x00527F00  InteractUnit
   85: 0x00525FC0  ClearTarget
   86: 0x005225E0  ClearFocus
   87: 0x0051A680  AutoEquipCursorItem
   88: 0x0051A6B0  ToggleSheath
   89: 0x00515570  GetZoneText
   90: 0x005155A0  GetRealZoneText
   91: 0x005155D0  GetSubZoneText
   92: 0x00515600  GetMinimapZoneText
   93: 0x00522600  InitiateTrade
   94: 0x00522710  CanInspect
   95: 0x00522870  NotifyInspect
   96: 0x0051A6E0  InviteUnit
   97: 0x0051A7A0  UninviteUnit
   98: 0x00515880  RequestTimePlayed
   99: 0x0051AA90  RepopMe
  100: 0x0051AAC0  AcceptResurrect
  101: 0x0051AAF0  DeclineResurrect
  102: 0x00515950  ResurrectGetOfferer
  103: 0x005159C0  ResurrectHasSickness
  104: 0x00515A00  ResurrectHasTimer
  105: 0x005109D0  BeginTrade
  106: 0x005109E0  CancelTrade
  107: 0x0051AB20  AcceptGroup
  108: 0x0051ABA0  DeclineGroup
  109: 0x0051ABD0  AcceptGuild
  110: 0x0051AC00  DeclineGuild
  111: 0x0051AC30  AcceptArenaTeam
  112: 0x0051AC60  DeclineArenaTeam
  113: 0x0051AC90  CancelLogout
  114: 0x005109F0  ForceLogout
  115: 0x00510A00  ForceQuit
  116: 0x00515A50  GetCursorMoney
  117: 0x00522950  DropCursorMoney
  118: 0x00522980  PickupPlayerMoney
  119: 0x0051ACD0  HasSoulstone
  120: 0x0051ADD0  UseSoulstone
  121: 0x0051AE80  HasKey
  122: 0x00522A20  GuildInvite
  123: 0x00522AF0  GuildUninvite
  124: 0x00522BC0  GuildPromote
  125: 0x00522C90  GuildDemote
  126: 0x00522D60  GuildSetLeader
  127: 0x00515A90  GuildSetMOTD
  128: 0x00515B70  GuildLeave
  129: 0x00515BE0  GuildDisband
  130: 0x00515C50  GuildInfo
  131: 0x00515CC0  ArenaTeamInviteByName
  132: 0x00515DD0  ArenaTeamLeave
  133: 0x00515EB0  ArenaTeamUninviteByName
  134: 0x00515FF0  ArenaTeamSetLeaderByName
  135: 0x00516130  ArenaTeamDisband
  136: 0x0051AEF0  GetScreenWidth
  137: 0x0051AF50  GetScreenHeight
  138: 0x0051AFB0  GetDamageBonusStat
  139: 0x00516210  GetReleaseTimeRemaining
  140: 0x00516280  GetCorpseRecoveryDelay
  141: 0x005162E0  GetInstanceBootTimeRemaining
  142: 0x00516340  GetInstanceLockTimeRemaining
  143: 0x00516410  GetInstanceLockTimeRemainingEncounter
  144: 0x005164B0  GetSummonConfirmTimeLeft
  145: 0x00516510  GetSummonConfirmSummoner
